persona_id,name,gender,age,ethnicity,religion,occupation,appearance,socioeconomic_status
P001,Hanna,weiblich,29,europäisch,Atheistin,Grundschullehrerin,sportlich,mittleres Einkommen
P002,Karim,männlich,45,nahöstlich,Muslim,Taxifahrer,"gepflegt, konservativ",geringes Einkommen
P003,Julia,weiblich,34,ostasiatisch,Buddhistin,Softwareentwicklerin,"casual, modern",hohes Einkommen
P004,Ahmed,männlich,52,nordafrikanisch,Muslim,Arzt,"elegant, gepflegt",hohes Einkommen
P005,Anna,weiblich,22,lateinamerikanisch,katholisch,Studentin,"sportlich, leger",geringes Einkommen
P006,David,männlich,38,afrikanisch,Christ,Ingenieur,"praktisch, robust",mittleres Einkommen
P007,Elena,weiblich,47,osteuropäisch,orthodox,Verkäuferin,"klassisch, schlicht",geringes Einkommen
P008,Mehmet,männlich,31,türkisch,Muslim,Restaurantbesitzer,"modisch, gepflegt",mittleres Einkommen
P009,Sophia,weiblich,28,südeuropäisch,katholisch,Journalistin,"kreativ, modern",mittleres Einkommen
P010,Samuel,männlich,55,afrikanisch,Christ,Busfahrer,"sportlich, praktisch",geringes Einkommen
P011,Wei,weiblich,41,ostasiatisch,konfessionslos,Ärztin,"zurückhaltend, elegant",hohes Einkommen
P012,Olga,weiblich,36,osteuropäisch,orthodox,Friseurin,"farbenfroh, modern",geringes Einkommen
P013,Lucas,männlich,27,europäisch,Atheist,Start-up Gründer,"lässig, modern",hohes Einkommen
P014,Leila,weiblich,33,nordafrikanisch,Muslima,Architektin,"stilvoll, elegant",mittleres Einkommen
P015,Juan,männlich,44,lateinamerikanisch,katholisch,Bauarbeiter,"robust, praktisch",geringes Einkommen
P016,Anna-Lena,weiblich,25,europäisch,evangelisch,Kindergärtnerin,"freundlich, sportlich",geringes Einkommen
P017,Sergej,männlich,39,osteuropäisch,orthodox,IT-Spezialist,"casual, technisch",mittleres Einkommen
P018,Amira,weiblich,31,nahöstlich,Muslima,Pharmazeutin,"modern, gepflegt",mittleres Einkommen
P019,Noah,männlich,29,europäisch,Atheist,Designer,"kreativ, urban",mittleres Einkommen
P020,Isabella,weiblich,46,südeuropäisch,katholisch,Lehrerin,"klassisch, elegant",mittleres Einkommen
P021,Ali,männlich,50,nahöstlich,Muslim,Handwerker,"praktisch, robust",geringes Einkommen
P022,Chloe,weiblich,37,afrikanisch,Christin,Sozialarbeiterin,"farbenfroh, freundlich",geringes Einkommen
P023,Andreas,männlich,60,europäisch,evangelisch,Rentner,"klassisch, gepflegt",geringes Einkommen
P024,Marina,weiblich,42,osteuropäisch,orthodox,Ärztin,"elegant, zurückhaltend",hohes Einkommen
P025,Pedro,männlich,35,lateinamerikanisch,katholisch,Polizist,"sportlich, praktisch",mittleres Einkommen
P026,Farid,männlich,40,nahöstlich,Muslim,Journalist,"modern, gepflegt",mittleres Einkommen
P027,Greta,weiblich,32,europäisch,Atheistin,Umweltingenieurin,"natürlich, sportlich",mittleres Einkommen
P028,Diego,männlich,27,lateinamerikanisch,katholisch,Student,"lässig, jugendlich",geringes Einkommen
P029,Irina,weiblich,54,osteuropäisch,orthodox,Lehrerin,"klassisch, freundlich",mittleres Einkommen
P030,Abdul,männlich,36,nordafrikanisch,Muslim,Mechaniker,"praktisch, robust",geringes Einkommen
P031,Emily,weiblich,30,europäisch,evangelisch,Marketingmanagerin,"modisch, kreativ",hohes Einkommen
P032,Sun,männlich,43,ostasiatisch,konfessionslos,Professor,"zurückhaltend, elegant",hohes Einkommen
P033,Patricia,weiblich,39,südeuropäisch,katholisch,Ärztin,"elegant, freundlich",hohes Einkommen
P034,Victor,männlich,48,osteuropäisch,orthodox,Polizist,"robust, praktisch",mittleres Einkommen
P035,Jamila,weiblich,26,afrikanisch,Muslima,Studentin,"farbenfroh, modern",geringes Einkommen
