Region;Country;Year;Population;Christians;Muslims;Religiously_unaffiliated;Buddhists;Hindus;Jews;Other_religions;Level;Countrycode
Asia-Pacific;Afghanistan;2020;39,068,979;7,571;39,015,051;3,304;7,814;50;10;35,179;1;4
Europe;Albania;2020;2,871,954;511,657;2,139,813;219,787;5;20;289;382;1;8
Middle East-North Africa;Algeria;2020;44,042,091;129,920;43,329,641;557,664;6,607;0;57;18,202;1;12
Sub-Saharan Africa;Angola;2020;33,451,133;31,124,508;85,520;2,045,473;801;3,102;400;191,330;1;24
Latin America-Caribbean;Argentina;2020;45,191,965;39,974,074;419,922;4,172,533;14,038;1,163;173,979;436,255;1;32
Asia-Pacific;Armenia;2020;2,890,893;2,813,205;7,712;34,051;309;216;103;35,296;1;51
Asia-Pacific;Australia;2020;25,743,791;12,035,331;901,843;10,900,956;672,312;762,897;108,230;362,221;1;36
Europe;Austria;2020;8,921,405;6,083,568;740,723;1,998,162;26,496;10,103;5,384;56,968;1;40
Asia-Pacific;Azerbaijan;2020;10,181,730;42,730;9,644,874;484,645;208;693;8,580;0;1;31
Latin America-Caribbean;Bahamas;2020;395,863;386,320;340;7,351;0;500;196;1,156;1;44
Middle East-North Africa;Bahrain;2020;1,483,077;202,789;1,097,795;4,747;2,367;166,191;213;8,975;1;48
Asia-Pacific;Bangladesh;2020;166,298,024;499,044;151,443,154;0;1,014,722;13,141,486;0;199,618;1;50
Latin America-Caribbean;Barbados;2020;281,698;217,891;1,992;56,731;301;1,302;129;3,352;1;52
Europe;Belarus;2020;9,350,944;7,960,518;24,528;1,287,788;3,537;521;6,989;67,062;1;112
Europe;Belgium;2020;11,540,107;5,882,166;786,035;4,498,732;20,589;26,799;28,946;296,841;1;56
Latin America-Caribbean;Belize;2020;390,812;290,631;704;61,082;989;764;772;35,869;1;84
Sub-Saharan Africa;Benin;2020;13,070,169;6,957,403;4,104,194;638,597;1,075;1,084;8;1,367,808;1;204
Asia-Pacific;Bhutan;2020;770,006;4,237;1,711;336;575,466;173,297;0;14,959;1;64
Latin America-Caribbean;Bolivia;2020;11,816,300;10,507,715;1,158;1,128,180;2,227;436;495;176,088;1;68
Europe;Bosnia-Herzegovina;2020;3,299,350;1,474,082;1,770,067;34,503;89;0;497;20,111;1;70
Sub-Saharan Africa;Botswana;2020;2,365,894;1,946,908;7,817;348,312;5,399;3,252;93;54,113;1;72
Latin America-Caribbean;Brazil;2020;208,660,843;168,295,544;36,936;28,113,467;215,207;1,608;92,141;11,905,941;1;76
Asia-Pacific;Brunei;2020;447,404;29,947;367,545;699;28,172;5,976;0;15,065;1;96
Europe;Bulgaria;2020;6,933,652;5,512,051;711,305;695,595;1,835;202;3,189;9,476;1;100
Sub-Saharan Africa;Burkina Faso;2020;21,478,690;6,014,971;14,478,720;123,674;269;130;0;860,926;1;854
Sub-Saharan Africa;Burundi;2020;12,617,036;11,983,696;377,703;158,086;21;942;21;96,568;1;108
Asia-Pacific;Cambodia;2020;16,725,474;52,923;341,685;13,220;16,238,906;133;0;78,608;1;116
Sub-Saharan Africa;Cameroon;2020;26,210,558;18,303,865;6,593,861;545,144;477;1,948;1,672;763,591;1;120
North America;Canada;2020;38,171,902;20,353,687;1,865,790;13,218,712;663,179;582,029;352,344;1,136,160;1;124
Sub-Saharan Africa;Cape Verde;2020;514,680;402,984;1,609;106,107;27;7;64;3,882;1;132
Sub-Saharan Africa;Central African Republic;2020;5,026,629;4,557,904;313,714;22,743;94;122;160;131,892;1;140
Sub-Saharan Africa;Chad;2020;17,224,679;6,699,376;9,707,447;539,935;1,873;1,722;0;274,327;1;148
Latin America-Caribbean;Chile;2020;19,370,624;13,235,177;12,977;5,862,725;7,423;1,034;15,801;235,487;1;152
Asia-Pacific;China;2020;1,426,106,093;25,452,526;25,980,822;1,278,120,922;53,378,804;29,118;3,038;43,140,859;1;156
