age;total;male_adjusted;female_adjusted;diverse
0;673380;345711;327669;0
1;700940;359324;341616;0
2;744162;381737;362425;0
3;797030;408588;388442;0
4;783616;397922;377858;7836
5;792542;402271;382346;7925
6;806423;408660;389699;8064
7;816018;413779;394079;8160
8;824410;417253;398913;8244
9;802173;407809;386342;8022
10;797364;404617;384773;7974
11;771006;391736;371560;7710
12;771740;392781;371242;7717
13;760061;384710;363950;11401
14;779030;394439;372906;11685
15;769457;391032;366883;11542
16;792341;403900;376556;11885
17;793349;408541;372908;11900
18;792901;409032;368011;15858
19;817999;419954;381685;16360
20;843316;430257;396193;16866
21;834907;422979;395230;16698
22;857842;436828;403857;17157
23;893523;457056;418597;17870
24;952560;489173;444336;19051
25;968463;501861;447233;19369
26;994345;512465;461993;19887
27;1020294;524203;475685;20406
28;1001001;512538;468443;20020
29;980890;501496;459776;19618
30;988288;508444;469961;9883
31;1015189;520214;484823;10152
32;1033390;527943;495113;10334
33;1060509;540437;509467;10605
34;1151887;586028;554340;11519
35;1139320;578140;549787;11393
36;1165498;591434;562409;11655
37;1143025;578886;552709;11430
38;1124922;565893;547780;11249
39;1092066;549285;531860;10921
40;1083525;543211;529479;10835
41;1083458;541766;530857;10835
42;1099294;548687;539614;10993
43;1086742;539094;536781;10867
44;1088001;539630;537491;10880
45;1032845;514212;513469;5164
46;1014045;505011;503964;5070
47;999487;498249;496241;4997
48;976705;485142;486679;4884
49;947515;470939;471838;4738
50;956347;474328;477237;4782
51;957400;474721;477892;4787
52;1035320;513571;516572;5177
53;1138063;565180;567193;5690
54;1173661;582789;585004;5868
55;1251796;624000;621537;6259
56;1301334;648901;645926;6507
57;1324870;659722;658524;6624
58;1351436;672591;672088;6757
59;1344152;668560;668871;6721
60;1360738;673997;679937;6804
61;1339742;661417;671626;6699
62;1294344;635787;652085;6472
63;1269790;620554;642887;6349
64;1214279;588706;619502;6071
65;1169242;565708;601196;2338
66;1091834;526223;563427;2184
67;1059429;509593;547717;2119
68;1024594;491398;531147;2049
69;979854;464917;512977;1960
70;949236;445033;502305;1898
71;904559;419882;482868;1809
72;890040;410966;477294;1780
73;859165;394727;462720;1718
74;842694;384527;456482;1685
75;797432;362722;433115;1595
76;711029;323043;386564;1422
77;651950;292797;357849;1304
78;550371;243781;305489;1101
79;468806;203988;263880;938
80;607141;262933;342994;1214
81;593775;254453;338134;1188
82;553001;233169;318726;1106
83;641590;264386;375921;1283
84;633529;253528;378734;1267
85;582919;228641;353112;1166
86;497275;190628;305652;995
87;419573;156818;261916;839
88;356617;128851;227053;713
89;296480;103071;192816;593
90;233324;77529;155328;467
91;154087;49268;104511;308
92;124618;37618;86751;249
93;100447;28706;71540;201
94;81746;21956;59627;163
95;58459;15100;43242;117
96;42375;10282;32008;85
97;28452;6478;21917;57
98;19065;3910;15117;38
99;12465;2293;10147;25
100;17901;2891;14974;36
