Land;Anzahl;Country
Türkei;1544480;Turkey
Ukraine;1334005;Ukraine
Syrien;975060;Syria
Rumänien;909755;Romania
Polen;864980;Poland
Italien;636730;Italy
Afghanistan;442020;Afghanistan
Bulgarien;432080;Bulgaria
Kroatien;425810;Croatia
Griechenland;353730;Greece
Kosovo;313615;Kosovo
Russland;302315;Russia
Indien;277455;India
Irak;268785;Iraq
Serbien;262790;Serbia
Bosnien und Herzegowina;249730;Bosnia-Herzegovina
Ungarn;216140;Hungary
Spanien;201810;Spain
Österreich;181510;Austria
China;163000;China
Iran;161610;Iran
Nordmazedonien;158995;North Macedonia
Niederlande;148560;Netherlands
Portugal;140185;Portugal
Frankreich;138250;France
Vietnam;137560;Vietnam
Albanien;125445;Albania
USA;120385;United States
Marokko;102925;Morocco
Pakistan;96920;Pakistan
Eritrea;84760;Eritrea
Nigeria;84530;Nigeria
Vereinigtes Königreich;80345;United Kingdom
Somalia;66215;Somalia
Tschechien;64320;Czech Republic
Slowakei;62685;Slovakia
Thailand;59705;Thailand
Brasilien;58985;Brazil
Tunesien;58260;Tunisia
Litauen;56265;Lithuania
Ägypten;52940;Egypt
Ghana;50455;Ghana
Kasachstan;48125;Kazakhstan
Libanon;48045;Lebanon
Philippinen;45265;Philippines
Moldau;41410;Moldova
Südkorea;41045;South Korea
Georgien;40885;Georgia
Lettland;40815;Latvia
Schweiz;40640;Switzerland
Japan;38795;Japan
Aserbaidschan;37860;Azerbaijan
Kamerun;36565;Cameroon
Kolumbien;35895;Colombia
Armenien;32815;Armenia
Belgien;30335;Belgium
Indonesien;29780;Indonesia
Montenegro;28390;Montenegro
Belarus;28365;Belarus
Sri Lanka;27875;Sri Lanka
Schweden;27830;Sweden
Slowenien;26940;Slovenia
Guinea;26200;Guinea
Algerien;25860;Algeria
Luxemburg;25375;Luxembourg
Bangladesch;24330;Bangladesh
Mexiko;23940;Mexico
Äthiopien;23855;Ethiopia
Irland;20025;Ireland
Kanada;19945;Canada
Dänemark;19375;Denmark
Jordanien;17995;Jordan
Venezuela;17090;Venezuela
Gambia;16585;Gambia
Libyen;16060;Libya
Kenia;15080;Kenya
Israel;14605;Israel
Finnland;14305;Finland
Usbekistan;14230;Uzbekistan
Peru;13815;Peru
Australien;13780;Australia
Jemen;12980;Yemen
Kirgisistan;12290;Kyrgyzstan
Tadschikistan;12150;Tajikistan
Togo;12130;Togo
Chile;12090;Chile
Sudan;12035;Sudan
Nepal;11265;Nepal
Taiwan;10785;Taiwan
Demokratische Republik Kongo;10245;Democratic Republic of the Congo
Argentinien;10100;Argentina
Elfenbeinküste;9965;Ivory Coast
Südafrika;9920;South Africa
Kuba;9160;Cuba
Mongolei;8615;Mongolia
Malaysia;7505;Malaysia
Palästinensische Gebiete;7460;Palestinian territories
Ecuador;7440;Ecuador
Estland;7355;Estonia
Norwegen;7095;Norway
Madagaskar;6880;Madagascar
Angola;6665;Angola
Dominikanische Republik;6560;Dominican Republic
Senegal;6265;Senegal
Sierra Leone;5615;Sierra Leone
Uganda;5490;Uganda
Benin;5275;Benin
Simbabwe;4630;Zimbabwe
Ruanda;4000;Rwanda
Saudi-Arabien;3955;Saudi Arabia
Turkmenistan;3880;Turkmenistan
Neuseeland;3475;New Zealand
Mali;3435;Mali
Tansania;3420;Tanzania
Myanmar;3365;Myanmar
Zypern;3125;Cyprus
Singapur;2980;Singapore
Burkina Faso;2945;Burkina Faso
Honduras;2645;Honduras
Bolivien;2530;Bolivia
El Salvador;2500;El Salvador
Kuwait;2485;Kuwait
Burundi;2475;Burundi
Vereinigte Arabische Emirate;2355;United Arab Emirates
Mosambik;2250;Mozambique
Costa Rica;2085;Costa Rica
Kongo, Republik;1940;Republic of the Congo
Mauritius;1885;Mauritius
Paraguay;1855;Paraguay
Liberia;1825;Liberia
Nicaragua;1665;Nicaragua
Guinea-Bissau;1620;Guinea-Bissau
Namibia;1590;Namibia
Island;1520;Iceland
Hongkong;1515;Hong Kong
Niger;1380;Niger
Jamaika;1375;Jamaica
Guatemala;1325;Guatemala
Katar;1300;Qatar
Kambodscha;1295;Cambodia
Uruguay;975;Uruguay
Malta;935;Malta
Laos;925;Laos
Mauretanien;925;Mauritania
Sambia;830;Zambia
Tschad;790;Chad
Panama;755;Panama
Haiti;645;Haiti
Gabun;550;Gabon
Bahrain;540;Bahrain
Trinidad und Tobago;505;Trinidad and Tobago
Oman;490;Oman
Nordkorea;400;North Korea
Malawi;385;Malawi
Kap Verde;345;Cape Verde
Dschibuti;320;Djibouti
Botsuana;255;Botswana
Zentralafrikanische Republik;220;Central African Republic
Seychellen;190;Seychelles
Äquatorialguinea;180;Equatorial Guinea
Bhutan;160;Bhutan
Barbados;155;Barbados
Fidschi;120;Fiji
St. Lucia;120;St. Lucia
Malediven;115;Maldives
Eswatini;85;Eswatini
Grenada;85;Grenada
Guyana;80;Guyana
Bahamas;65;Bahamas
Komoren;65;Comoros
Belize;55;Belize
Lesotho;55;Lesotho
Papua-Neuguinea;50;Papua New Guinea
St. Vincent und die Grenadinen;50;St. Vincent and the Grenadines
Suriname;50;Suriname
Macau;45;Macao
Sao Tome und Principe;45;Sao Tome and Principe
Samoa;40;Samoa
Kiribati;35;Kiribati
Brunei;30;Brunei
Tonga;30;Tonga
Timor-Leste;20;Timor-Leste
Salomonen;10;Solomon Islands
Vanuatu;10;Vanuatu
Mikronesien;5;Federated States of Micronesia
