"Country or Area";"Year";"Area";"Sex";"Religion";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Albania";"2023";"Total";"Both Sexes";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"2402113";""
"Albania";"2023";"Total";"Both Sexes";"Atheist";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"85311";""
"Albania";"2023";"Total";"Both Sexes";"Catholic";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"201530";""
"Albania";"2023";"Total";"Both Sexes";"Evangelical";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"9658";""
"Albania";"2023";"Total";"Both Sexes";"Muslim";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"1101718";""
"Albania";"2023";"Total";"Both Sexes";"Orthodox";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"173645";""
"Albania";"2023";"Total";"Both Sexes";"Other";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"3670";""
"Albania";"2023";"Total";"Both Sexes";"Refused to answer";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"244331";""
"Albania";"2023";"Total";"Both Sexes";"Bektashism";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"115644";""
"Albania";"2023";"Total";"Both Sexes";"Believers without denomination";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"332155";""
"Albania";"2023";"Total";"Both Sexes";"Unknown";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"134451";""
"Albania";"2023";"Total";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"1190448";""
"Albania";"2023";"Total";"Male";"Atheist";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"44851";""
"Albania";"2023";"Total";"Male";"Catholic";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"98349";""
"Albania";"2023";"Total";"Male";"Evangelical";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"4302";""
"Albania";"2023";"Total";"Male";"Muslim";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"545828";""
"Albania";"2023";"Total";"Male";"Orthodox";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"84157";""
"Albania";"2023";"Total";"Male";"Other";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"1535";""
"Albania";"2023";"Total";"Male";"Refused to answer";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"123221";""
"Albania";"2023";"Total";"Male";"Bektashism";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"58854";""
"Albania";"2023";"Total";"Male";"Believers without denomination";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"162380";""
"Albania";"2023";"Total";"Male";"Unknown";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"66971";""
"Albania";"2023";"Total";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"1211665";""
"Albania";"2023";"Total";"Female";"Atheist";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"40460";""
"Albania";"2023";"Total";"Female";"Catholic";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"103181";""
"Albania";"2023";"Total";"Female";"Evangelical";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"5356";""
"Albania";"2023";"Total";"Female";"Muslim";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"555890";""
"Albania";"2023";"Total";"Female";"Orthodox";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"89488";""
"Albania";"2023";"Total";"Female";"Other";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"2135";""
"Albania";"2023";"Total";"Female";"Refused to answer";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"121110";""
"Albania";"2023";"Total";"Female";"Bektashism";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"56790";""
"Albania";"2023";"Total";"Female";"Believers without denomination";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"169775";""
"Albania";"2023";"Total";"Female";"Unknown";"Census - de jure - complete tabulation";"Final figure, complete";"2024";"67480";""
"Albania";"2011";"Total";"Both Sexes";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"2800138";""
"Albania";"2011";"Total";"Both Sexes";"Atheist";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"69995";""
"Albania";"2011";"Total";"Both Sexes";"Catholic";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"280921";""
"Albania";"2011";"Total";"Both Sexes";"Evangelical";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"3797";""
"Albania";"2011";"Total";"Both Sexes";"Muslim";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"1587608";""
"Albania";"2011";"Total";"Both Sexes";"Orthodox";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"188992";""
"Albania";"2011";"Total";"Both Sexes";"Other";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"602";""
"Albania";"2011";"Total";"Both Sexes";"Other Christians";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"1919";""
"Albania";"2011";"Total";"Both Sexes";"Refused to answer";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"386024";""
"Albania";"2011";"Total";"Both Sexes";"Bektashism";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"58628";""
"Albania";"2011";"Total";"Both Sexes";"Believers without denomination";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"153630";""
"Albania";"2011";"Total";"Both Sexes";"Not Stated";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"68022";""
"Anguilla";"2001";"Total";"Both Sexes";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"11430";""
"Anguilla";"2001";"Total";"Both Sexes";"Anglican";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"3313";""
"Anguilla";"2001";"Total";"Both Sexes";"Baptist";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"833";""
"Anguilla";"2001";"Total";"Both Sexes";"Brethren";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"39";""
"Anguilla";"2001";"Total";"Both Sexes";"Church of God";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"869";""
"Anguilla";"2001";"Total";"Both Sexes";"Evangelical";"Census - de facto - complete tabulation";"Final figure, complete";"2001";"60";""
"Anguilla";"2001";"Total";"Both Sexes";"Hindu";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"45";""
"Anguilla";"2001";"Total";"Both Sexes";"Jehovah Witness";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"81";""
"Anguilla";"2001";"Total";"Both Sexes";"Jewish";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"16";""
"Anguilla";"2001";"Total";"Both Sexes";"Methodist";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"2733";""
"Anguilla";"2001";"Total";"Both Sexes";"Muslim";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"36";""
"Anguilla";"2001";"Total";"Both Sexes";"Pentecostal";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"878";""
"Anguilla";"2001";"Total";"Both Sexes";"Presbyterian";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"25";""
"Anguilla";"2001";"Total";"Both Sexes";"Rastafarian";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"82";""
"Anguilla";"2001";"Total";"Both Sexes";"Roman Catholic";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"654";""
"Anguilla";"2001";"Total";"Both Sexes";"Seventh Day Adventist";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"871";""
"Anguilla";"2001";"Total";"Both Sexes";"Other Religions";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"400";""
"Anguilla";"2001";"Total";"Both Sexes";"No Religion";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"456";""
"Anguilla";"2001";"Total";"Both Sexes";"Not Specified";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"39";""
"Anguilla";"2001";"Total";"Male";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"5628";""
"Anguilla";"2001";"Total";"Male";"Anglican";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"1647";""
"Anguilla";"2001";"Total";"Male";"Baptist";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"384";""
"Anguilla";"2001";"Total";"Male";"Brethren";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"18";""
"Anguilla";"2001";"Total";"Male";"Church of God";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"359";""
"Anguilla";"2001";"Total";"Male";"Evangelical";"Census - de facto - complete tabulation";"Final figure, complete";"2001";"32";""
"Anguilla";"2001";"Total";"Male";"Hindu";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"21";""
"Anguilla";"2001";"Total";"Male";"Jehovah Witness";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"37";""
"Anguilla";"2001";"Total";"Male";"Jewish";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"9";""
"Anguilla";"2001";"Total";"Male";"Methodist";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"1365";""
"Anguilla";"2001";"Total";"Male";"Muslim";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"20";""
"Anguilla";"2001";"Total";"Male";"Pentecostal";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"398";""
"Anguilla";"2001";"Total";"Male";"Presbyterian";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"11";""
"Anguilla";"2001";"Total";"Male";"Rastafarian";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"74";""
"Anguilla";"2001";"Total";"Male";"Roman Catholic";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"311";""
"Anguilla";"2001";"Total";"Male";"Seventh Day Adventist";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"424";""
"Anguilla";"2001";"Total";"Male";"Other Religions";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"195";""
"Anguilla";"2001";"Total";"Male";"No Religion";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"296";""
"Anguilla";"2001";"Total";"Male";"Not Specified";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"27";""
"Anguilla";"2001";"Total";"Female";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"5802";""
"Anguilla";"2001";"Total";"Female";"Anglican";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"1666";""
"Anguilla";"2001";"Total";"Female";"Baptist";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"449";""
"Anguilla";"2001";"Total";"Female";"Brethren";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"21";""
"Anguilla";"2001";"Total";"Female";"Church of God";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"510";""
"Anguilla";"2001";"Total";"Female";"Evangelical";"Census - de facto - complete tabulation";"Final figure, complete";"2001";"28";""
"Anguilla";"2001";"Total";"Female";"Hindu";"Census - de facto - complete tabulation";"Final figure, complete";"2003";"24";""
