gen_id,occupation,count,total,share
12,Rentner/in,195,1000,0.195
12,Schüler/in,97,1000,0.097
12,Verkäufer/in,89,1000,0.089
12,Lehrer/in,85,1000,0.085
12,Soldat/in,80,1000,0.08
12,Polizist/in,75,1000,0.075
12,Arzt/Ärztin,71,1000,0.071
12,Krankenpfleger/in,71,1000,0.071
12,Informatiker/in,68,1000,0.068
12,Richter/in,66,1000,0.066
12,Manager/in,54,1000,0.054
12,Arbeitslos,49,1000,0.049
13,Rentner/in,340,1000,0.34
13,Schüler/in,109,1000,0.109
13,Verkäufer/in,66,1000,0.066
13,Polizist/in,65,1000,0.065
13,Arbeitslos,60,1000,0.06
13,Krankenpfleger/in,59,1000,0.059
13,Richter/in,58,1000,0.058
13,Soldat/in,57,1000,0.057
13,Informatiker/in,52,1000,0.052
13,Arzt/Ärztin,49,1000,0.049
13,Manager/in,46,1000,0.046
13,Lehrer/in,39,1000,0.039
14,Rentner/in,191,1000,0.191
14,Soldat/in,103,1000,0.103
14,Schüler/in,100,1000,0.1
14,Verkäufer/in,78,1000,0.078
14,Informatiker/in,76,1000,0.076
14,Polizist/in,73,1000,0.073
14,Krankenpfleger/in,72,1000,0.072
14,Arzt/Ärztin,69,1000,0.069
14,Lehrer/in,69,1000,0.069
14,Manager/in,65,1000,0.065
14,Richter/in,57,1000,0.057
14,Arbeitslos,47,1000,0.047
15,Rentner/in,185,1000,0.185
15,Schüler/in,100,1000,0.1
15,Verkäufer/in,95,1000,0.095
15,Krankenpfleger/in,85,1000,0.085
15,Arzt/Ärztin,79,1000,0.079
15,Informatiker/in,75,1000,0.075
15,Lehrer/in,72,1000,0.072
15,Polizist/in,69,1000,0.069
15,Soldat/in,65,1000,0.065
15,Manager/in,62,1000,0.062
15,Arbeitslos,57,1000,0.057
15,Richter/in,56,1000,0.056
16,Rentner/in,231,1000,0.231
16,Schüler/in,119,1000,0.119
16,Krankenpfleger/in,79,1000,0.079
16,Polizist/in,75,1000,0.075
16,Verkäufer/in,74,1000,0.074
16,Informatiker/in,69,1000,0.069
16,Lehrer/in,66,1000,0.066
16,Soldat/in,65,1000,0.065
16,Arbeitslos,63,1000,0.063
16,Arzt/Ärztin,59,1000,0.059
16,Manager/in,59,1000,0.059
16,Richter/in,41,1000,0.041
