question_uuid,persona_uuid,answer_raw
819e844f-1bd0-4612-86b9-aac31467b5c6,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher verantwortungsbewusst
819e844f-1bd0-4612-86b9-aac31467b5c6,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher verantwortungsbewusst
819e844f-1bd0-4612-86b9-aac31467b5c6,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,4. eher verantwortungsbewusst
819e844f-1bd0-4612-86b9-aac31467b5c6,b7fabcfe-d6c4-41f9-8910-2073a2fef652,4. eher verantwortungsbewusst
f79bef36-6b8c-4e4c-b293-7513d7c2bf96,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher gewissenhaft
f79bef36-6b8c-4e4c-b293-7513d7c2bf96,2089c0c0-7308-44ef-996c-d11ef6041751,5. sehr gewissenhaft
f79bef36-6b8c-4e4c-b293-7513d7c2bf96,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,4. eher gewissenhaft
f79bef36-6b8c-4e4c-b293-7513d7c2bf96,b7fabcfe-d6c4-41f9-8910-2073a2fef652,4. eher gewissenhaft
0ef3cf9b-813c-4bb9-a383-722fd9ad94a5,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher hilfsbereit
0ef3cf9b-813c-4bb9-a383-722fd9ad94a5,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher hilfsbereit
0ef3cf9b-813c-4bb9-a383-722fd9ad94a5,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,4. eher hilfsbereit
0ef3cf9b-813c-4bb9-a383-722fd9ad94a5,b7fabcfe-d6c4-41f9-8910-2073a2fef652,4. eher hilfsbereit
b7b88da8-3268-4879-8689-034be82ccab7,37bafb46-ae9a-4c08-a692-1916cc6df314,5. sehr stressresistent
b7b88da8-3268-4879-8689-034be82ccab7,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher stressresistent
b7b88da8-3268-4879-8689-034be82ccab7,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,2. eher nicht stressresistent
b7b88da8-3268-4879-8689-034be82ccab7,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
cc836381-9bea-4196-9fab-c963dd5d8d0b,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher organisiert
cc836381-9bea-4196-9fab-c963dd5d8d0b,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher organisiert
cc836381-9bea-4196-9fab-c963dd5d8d0b,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,2. eher nicht organisiert
cc836381-9bea-4196-9fab-c963dd5d8d0b,b7fabcfe-d6c4-41f9-8910-2073a2fef652,4. eher organisiert
a40aa2ae-bb6b-4f6e-8d33-7b9260efae2b,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher zuverlässig
a40aa2ae-bb6b-4f6e-8d33-7b9260efae2b,2089c0c0-7308-44ef-996c-d11ef6041751,3. neutral
a40aa2ae-bb6b-4f6e-8d33-7b9260efae2b,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,3. neutral
a40aa2ae-bb6b-4f6e-8d33-7b9260efae2b,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
dab05be6-894b-4418-b5e8-fc68cedd7ab7,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher aufgeschlossen
dab05be6-894b-4418-b5e8-fc68cedd7ab7,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher aufgeschlossen
dab05be6-894b-4418-b5e8-fc68cedd7ab7,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,2. eher nicht aufgeschlossen
dab05be6-894b-4418-b5e8-fc68cedd7ab7,b7fabcfe-d6c4-41f9-8910-2073a2fef652,2. eher nicht aufgeschlossen
a62c964f-5927-4cb4-95e4-2dd8b573dab5,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher anpassungsfähig
a62c964f-5927-4cb4-95e4-2dd8b573dab5,2089c0c0-7308-44ef-996c-d11ef6041751,5. sehr anpassungsfähig
a62c964f-5927-4cb4-95e4-2dd8b573dab5,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,2. eher nicht anpassungsfähig
a62c964f-5927-4cb4-95e4-2dd8b573dab5,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
652532f2-0324-44bc-a504-6be263f31b35,37bafb46-ae9a-4c08-a692-1916cc6df314,5. sehr konfliktfähig
652532f2-0324-44bc-a504-6be263f31b35,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher konfliktfähig
652532f2-0324-44bc-a504-6be263f31b35,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,3. neutral
652532f2-0324-44bc-a504-6be263f31b35,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
c8cc8dc9-577a-447a-a49a-09d22bfad482,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher teamfähig
c8cc8dc9-577a-447a-a49a-09d22bfad482,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher teamfähig
c8cc8dc9-577a-447a-a49a-09d22bfad482,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,3. neutral
c8cc8dc9-577a-447a-a49a-09d22bfad482,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
0f171ce8-5199-4f28-84ea-faffdc0c7b48,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher freundlich
0f171ce8-5199-4f28-84ea-faffdc0c7b48,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher freundlich
0f171ce8-5199-4f28-84ea-faffdc0c7b48,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,4. eher freundlich
0f171ce8-5199-4f28-84ea-faffdc0c7b48,b7fabcfe-d6c4-41f9-8910-2073a2fef652,4. eher freundlich
606ceb62-b311-4468-8b1b-2acfb5750d7f,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher kreativ
606ceb62-b311-4468-8b1b-2acfb5750d7f,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher kreativ
606ceb62-b311-4468-8b1b-2acfb5750d7f,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,3. neutral
606ceb62-b311-4468-8b1b-2acfb5750d7f,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
b525ab8c-ab4f-4602-bd75-c7c1058ccb27,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher flexibel
b525ab8c-ab4f-4602-bd75-c7c1058ccb27,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher flexibel
b525ab8c-ab4f-4602-bd75-c7c1058ccb27,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,3. neutral
b525ab8c-ab4f-4602-bd75-c7c1058ccb27,b7fabcfe-d6c4-41f9-8910-2073a2fef652,4. eher flexibel
ec4f08bc-bfd9-4126-bf4a-b10bcce72a88,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher aufmerksam
ec4f08bc-bfd9-4126-bf4a-b10bcce72a88,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher aufmerksam
ec4f08bc-bfd9-4126-bf4a-b10bcce72a88,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,4. eher aufmerksam
ec4f08bc-bfd9-4126-bf4a-b10bcce72a88,b7fabcfe-d6c4-41f9-8910-2073a2fef652,4. eher aufmerksam
a2686410-5661-4f18-a5ac-12b76c7b1226,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher vertrauenswürdig
a2686410-5661-4f18-a5ac-12b76c7b1226,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher vertrauenswürdig
a2686410-5661-4f18-a5ac-12b76c7b1226,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,3. neutral
a2686410-5661-4f18-a5ac-12b76c7b1226,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
f5cfc567-39f1-4acd-8bce-4433ed947c5a,37bafb46-ae9a-4c08-a692-1916cc6df314,5. sehr engagiert
f5cfc567-39f1-4acd-8bce-4433ed947c5a,2089c0c0-7308-44ef-996c-d11ef6041751,5. sehr engagiert
f5cfc567-39f1-4acd-8bce-4433ed947c5a,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,4. eher engagiert
f5cfc567-39f1-4acd-8bce-4433ed947c5a,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
7894751b-2d9c-4df7-a8d1-541afe567cba,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher motivierend
7894751b-2d9c-4df7-a8d1-541afe567cba,2089c0c0-7308-44ef-996c-d11ef6041751,5. sehr motivierend
7894751b-2d9c-4df7-a8d1-541afe567cba,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,4. eher motivierend
7894751b-2d9c-4df7-a8d1-541afe567cba,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
8fa76d14-71d7-4431-949b-58d91c0017af,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher veränderungsbereit
