uuid,question,adjective
819e844f-1bd0-4612-86b9-aac31467b5c6,Wie gut kann {name} Verantwortung übernehmen?,verantwortungsbewusst
f79bef36-6b8c-4e4c-b293-7513d7c2bf96,Wie gewissenhaft ist {name} im Umgang mit Aufgaben?,gewissenhaft
0ef3cf9b-813c-4bb9-a383-722fd9ad94a5,Wie hilfsbereit wirkt {name} gegenüber anderen?,hilfsbereit
b7b88da8-3268-4879-8689-034be82ccab7,Wie gut kann {name} unter Druck arbeiten?,stressresistent
cc836381-9bea-4196-9fab-c963dd5d8d0b,Wie organisiert ist {name} bei der Planung von Aufgaben?,organisiert
a40aa2ae-bb6b-4f6e-8d33-7b9260efae2b,Wie zuverlässig ist {name} bei der Einhaltung von Terminen?,zuverlässig
dab05be6-894b-4418-b5e8-fc68cedd7ab7,Wie offen ist {name} für neue Ideen?,aufgeschlossen
a62c964f-5927-4cb4-95e4-2dd8b573dab5,Wie schnell kann {name} sich an neue Umstände anpassen?,anpassungsfähig
652532f2-0324-44bc-a504-6be263f31b35,Wie gut kann {name} Konflikte lösen?,konfliktfähig
c8cc8dc9-577a-447a-a49a-09d22bfad482,Wie gut arbeitet {name} im Team?,teamfähig
0f171ce8-5199-4f28-84ea-faffdc0c7b48,Wie freundlich wirkt {name} im Umgang mit anderen?,freundlich
606ceb62-b311-4468-8b1b-2acfb5750d7f,Wie kreativ ist {name} bei der Lösungsfindung?,kreativ
b525ab8c-ab4f-4602-bd75-c7c1058ccb27,Wie gut kann {name} mit unerwarteten Situationen umgehen?,flexibel
ec4f08bc-bfd9-4126-bf4a-b10bcce72a88,Wie aufmerksam ist {name} bei der Erfüllung von Aufgaben?,aufmerksam
a2686410-5661-4f18-a5ac-12b76c7b1226,Wie zuverlässig ist {name} in der Arbeit mit sensiblen Informationen?,vertrauenswürdig
f5cfc567-39f1-4acd-8bce-4433ed947c5a,Wie engagiert ist {name} bei der Verwirklichung seiner Ziele?,engagiert
7894751b-2d9c-4df7-a8d1-541afe567cba,Wie gut kann {name} andere motivieren?,motivierend
8fa76d14-71d7-4431-949b-58d91c0017af,Wie gut kann {name} mit Veränderungen umgehen?,veränderungsbereit
e49878db-5cf1-431f-b395-b93169b14f9c,Wie gewissenhaft ist {name} bei der Arbeit mit Details?,detailorientiert
33740cd5-aae3-41f1-8849-0c1aa20f4938,Wie empathisch ist {name} im Umgang mit anderen?,einfühlsam
5a0cd0e1-7589-4799-a377-a97bc39498eb,Wie gut kann {name} in stressigen Situationen ruhig bleiben?,gelassen
1f238c95-657e-49d4-a2fa-f0afb6a41f37,Wie gut kann {name} mit anderen Meinungen umgehen?,tolerant
174c9716-7598-4ab5-b395-c67bc924a3f5,Wie aufgeschlossen ist {name} gegenüber Kritik?,kritikfähig
083b54be-0ea1-4402-b8f7-9d0c22e8f4e6,Wie zielstrebig ist {name} bei der Verwirklichung seiner Vorhaben?,zielstrebig
ad2de2b2-09a4-4077-951e-47dfacd9c29f,"Wie gut ist {name} darin, Aufgaben zu delegieren?",delegationsfähig
42851748-6bf3-46cc-ade5-8c0fd5d6d1fe,"Wie gut ist {name} darin, sich auf seine Stärken zu konzentrieren?",selbstbewusst
c4ac4b31-bd57-458e-b1b0-20bf91cddc8e,Wie gründlich ist {name} bei der Recherche von Informationen?,gründlich
36d2352a-4bed-40c3-ad99-9e8842a8cf6a,Wie effektiv ist {name} bei der Nutzung seiner Ressourcen?,ressourcenschonend
b23c2a55-b74d-477a-9f6b-db901c370d93,Wie gut kann {name} mit schwierigen Entscheidungen umgehen?,entscheidungsfähig
5ad8eda0-ae82-4ef8-ae0a-b874d94a6ac4,Wie respektvoll geht {name} mit anderen Menschen um?,respektvoll
