uuid,name,age,gender,education,occupation,marriage_status,migration_status,origin,religion,sexuality,appearance,biography
37bafb46-ae9a-4c08-a692-1916cc6df314,analysisWe need to generate a name that fits the attributes: age,33,male,Fachhochschul- oder Hochschulreife,Friseur/in,single,with_migration,Afghanistan,Muslims,heterosexual,"analysisWe need to generate an appearance description. Use given attributes: age 33, male, hairdresser, single, high school or university education, migration status with migration, origin Afghanistan, Muslim religion, heterosexual. Need to consider socioc","analysisWe need to produce a biography of 3-5 sentences. The user gave attributes: age 33 male, occupation Friseur/in (hairdresser), single, education Fachhochschul- or Hochschulreife (i.e., high school diploma or university entrance qualification). Migration status with migration; origin Afghanistan; religion Muslims; sexuality heterosexual.

So we should generate plausible realistic biography considering socio-cultural factors, typical life events, etc. Should mention he moved from Afghanistan to Germany?"
2089c0c0-7308-44ef-996c-d11ef6041751,analysisThe user wants a name suitable for someone with those attributes.,33,male,Fachhochschul- oder Hochschulreife,Erzieher/in,divorced,with_migration,Syrien,Muslims,heterosexual,"analysisWe need to produce a description of appearance. The user gives attributes:

Age 33, male, occupation Erzieher (teacher for children), divorced, education Fachhochschule or university degree, migration status with migration, origin Syria,","analysisWe need to generate a biography of 3-5 sentences. Must incorporate attributes: age 33 male, occupation Erzieher (teacher/early childhood educator), divorced, education Fachhochschul- oder Hochschulreife (so either Fachhochschule or university). Migration status with migration, origin Syria, religion Muslims, sexuality heterosexual. So he is a Syrian-born male who migrated, now works as early childhood teacher, aged 33, divorced, hetero Muslim, has"
e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,analysisWe need to generate a name suitable for an 81-year,81,female,Haupt- (Volks-)schulabschluss,Rentner/in,married,with_migration,Bosnien und Herzegowina,Christians,heterosexual,"analysisWe need to produce a description of appearance based on attributes. The user wants an appearance description. We must follow developer instruction: output only the description in 1–2 short sentences, describing and concrete. No other text. So we","analysisWe need to generate a biography of 3-5 sentences. The user gave attributes: age 81, gender female, occupation ""Rentner/in"" (retired), married, education Haupt- (Volks) school, migration status with_migration, origin Bosnia and Herzegovina, religion Christians, sexuality heterosexual. We should incorporate plausible life events considering migration, age etc. Should be realistic. 3-5 sentences. Let's produce about 4 sentences. Ensure we mention her"
b7fabcfe-d6c4-41f9-8910-2073a2fef652,analysisThe user wants to generate a name for the given attributes.,80,female,Realschule oder gleichwertiger Abschluss,Rentner/in,widowed,with_migration,Russland,Religiously_unaffiliated,heterosexual,"analysisWe need to produce a description of appearance: 1-2 short sentences, describing physically realistic features, considering age 80 female, retired, widowed, Russian origin, migration status with migration (so maybe moved to another country),","analysisWe need to produce a biography in German, 3-5 sentences, about an 80-year-old woman who is retired, widowed, has a Realschule or equivalent diploma, with migration background from Russia, religiously unaffiliated, heterosexual. Must consider sociocultural factors and typical life events based on origin, occupation, education, etc. The biography should be plausible and realistic. Let's craft something like:

""Anna Petrov, geboren 1943 in Moskau"
10be2860-2788-4164-b1f9-2a1ae1957907,analysisWe need to produce a name that fits attributes: age,21,female,Realschule oder gleichwertiger Abschluss,Erzieher/in,single,with_migration,Türkei,Muslims,heterosexual,"analysisWe need to generate appearance description 1-2 sentences, describing plausible realistic features based on demographics. Must consider age 21 female, occupation teacher/early childhood educator, single, education Realschule or equivalent, migration status with migration","analysisWe need to generate a biography in German, 3-5 sentences, realistic given attributes. Attributes: age 21, female, occupation Erzieher/in (early childhood educator), single, education Realschule or equivalent, migration status with migration, origin Turkey, religion Muslim, sexuality heterosexual. Should incorporate sociocultural aspects: Turkish background, likely integration into Germany? She might have grown up in a Turkish family in Germany; maybe grew up in a city like Berlin or Frankfurt"
5358a30d-aa6e-485e-9082-5652d7a3cd3c,analysisWe need to generate a name based on attributes. It's a,5,male,Unknown,Unemployed,single,with_migration,Türkei,Muslims,heterosexual,"analysisWe need to generate an appearance description in German (since the prompt is German). Attributes: age 5, male child, unemployed? For a child it's irrelevant. Single, education unknown, migration status with migration, origin Turkey, religion","analysisWe need to produce a realistic biography of a 5-year-old male, unemployed (makes sense), single, unknown education, migration status with migration, origin Turkey, religion Muslims, sexuality heterosexual (irrelevant at age). We should incorporate typical life events, socio-cultural aspects. Use 3-5 sentences. Output only the biography. Ensure German text? The user wrote attributes in English but also used German words like ""Marital Status"" etc. They want biography in German likely."
cd03c8e7-bbd9-4215-8394-be9f7dbaf7d6,analysisWe need to generate a name based on attributes: age,19,male,Fachhochschul- oder Hochschulreife,Schüler/in,single,with_migration,Iran,Muslims,heterosexual,"analysisWe need to generate a realistic appearance description for a 19-year-old male student of Iranian origin, with migration background, Muslim, heterosexual, single. He has high school or university education. Likely living in Germany? The description should","analysisWe need to generate a short biography of 3-5 sentences, realistic, based on attributes:

Age 19, male, occupation student (Schüler/in), single, education Fachhochschul- or Hochschulreife, migration status with migration, origin Iran, religion Muslims, sexuality heterosexual.

So he's a 19-year-old Iranian-born Muslim male, studying at high school or university? He has Fachhochschul- or Hochschulreife meaning he has the qualification"
8c3be5c5-e5fd-41d6-857d-125d3d40402a,analysisThe user asks to generate a name for the given attributes.,18,male,Fachhochschul- oder Hochschulreife,Reinigungskraft,single,with_migration,Polen,Christians,heterosexual,"analysisWe need to generate a description of appearance based on attributes. Must be 1-2 short sentences, descriptive and concrete. Only output the description. So we describe an 18-year-old male Polish Christian cleaning worker, single, with","analysisWe need to generate a biography in 3-5 sentences. Must reflect attributes: age 18 male, occupation cleaning staff, single, education Fachhochschul- oder Hochschulreife (higher secondary or university entrance qualification). Migration status: with migration (i.e., migrant). Origin Poland. Religion Christian. Sexual orientation heterosexual.

Need plausible realistic biography: mention moving from Poland to Germany? Work as janitor while studying? He might have immigrated at young age, completed"
da8ced65-f19b-45e6-80fb-03f9d7ae8632,analysisThe user wants a name for a person with given attributes.,48,male,Fachhochschul- oder Hochschulreife,Sozialarbeiter/in,married,with_migration,Italien,Christians,heterosexual,"analysisWe need to generate an appearance description based on attributes. The user says: ""Generate an appearance for the following attributes: ..."". We must produce 1-2 short sentences describing appearance, incorporating socio-cultural and age-related factors from origin","analysisWe need to generate a biography of 3-5 sentences. The attributes:

Age 48 male, occupation social worker (German ""Sozialarbeiter/in"" but gender male). Married. Education: Fachhochschul- or Hochschulreife. Migration status: with migration. Origin Italy. Religion Christian. Sexuality heterosexual.

We need to consider sociocultural factors: He immigrated from Italy maybe as child or adult? At 48, likely moved early. Social worker"
9de88a1d-3024-4dde-b894-db9051b2d76b,analysisWe need to generate a name that fits these attributes:,81,male,Realschule oder gleichwertiger Abschluss,Rentner/in,divorced,without_migration,Deutschland,Christians,heterosexual,"analysisWe need to generate a plausible appearance description based on attributes. The user wants: age 81, male, retired, divorced, Realschule education, no migration, German origin, Christian, heterosexual. We need a concise 1","analysisWe need to produce a biography of 3-5 sentences, realistic, from German context. The attributes: age 81, male, retired (Rentner), divorced, Realschule or equivalent education, no migration background, German origin, Christian, heterosexual. So typical older German male. We should mention maybe he grew up in small town, worked as tradesman perhaps, had two children, now lives alone after divorce. Maybe he enjoys gardening and church. Provide 3-"
